@RELATION polyps

@ATTRIBUTE FILE_ID NUMERIC
@ATTRIBUTE C1ENERGYMEAN REAL
@ATTRIBUTE C1ENERGYVARIANCE REAL
@ATTRIBUTE C2ENERGYMEAN REAL
@ATTRIBUTE C2ENERGYVARIANCE REAL
@ATTRIBUTE C3ENERGYMEAN REAL
@ATTRIBUTE C3ENERGYVARIANCE REAL
@ATTRIBUTE C1ENTROPYMEAN REAL
@ATTRIBUTE C1ENTROPYVARIANCE REAL
@ATTRIBUTE C2ENTROPYMEAN REAL
@ATTRIBUTE C2ENTROPYVARIANCE REAL
@ATTRIBUTE C3ENTROPYMEAN REAL
@ATTRIBUTE C3ENTROPYVARIANCE REAL
@ATTRIBUTE C1CORRELATIONMEAN REAL
@ATTRIBUTE C1CORRELATIONVARIANCE REAL
@ATTRIBUTE C2CORRELATIONMEAN REAL
@ATTRIBUTE C2CORRELATIONVARIANCE REAL
@ATTRIBUTE C3CORRELATIONMEAN REAL
@ATTRIBUTE C3CORRELATIONVARIANCE REAL
@ATTRIBUTE C1DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C1DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C2DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C2DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C3DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C3DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C1INERTIAMEAN REAL
@ATTRIBUTE C1INERTIAVARIANCE REAL
@ATTRIBUTE C2INERTIAMEAN REAL
@ATTRIBUTE C2INERTIAVARIANCE REAL
@ATTRIBUTE C3INERTIAMEAN REAL
@ATTRIBUTE C3INERTIAVARIANCE REAL
@ATTRIBUTE C1CLUSTERSHADEMEAN REAL
@ATTRIBUTE C1CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C2CLUSTERSHADEMEAN REAL
@ATTRIBUTE C2CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C3CLUSTERSHADEMEAN REAL
@ATTRIBUTE C3CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C1CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C1CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C2CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C2CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C3CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C3CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C1HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C1HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C2HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C2HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C3HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C3HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE CLASS {0,1}

@DATA
21,0.42602,0.00062,0.03517,0.00001,0.03458,0.00002,1.78783,0.00126,5.71160,0.02017,5.51345,0.03743,0.00440,0.00002,0.00411,0.00052,0.00427,0.00017,0.75006,0.00275,0.39203,0.00208,0.38036,0.00216,59.53749,68.65421,26.56107,67.45258,42.47770,185.46664,-12796.32155,34786164.77287,2574.72899,2670964.41270,7943.77589,25298465.01490,2743559.61786,2612291249040.06200,279213.29582,47597917702.39031,1274295.00948,1002891898754.42590,13537776.68211,331211634.98157,14608139.04992,1563342736.55700,26402015.14416,5096469672.06925,1
22,0.68762,0.00021,0.03181,0.00001,0.02597,0.00001,1.08441,0.00022,5.61277,0.01166,5.77763,0.01575,0.05066,0.00540,-0.00453,0.00045,-0.00193,0.00023,0.88014,0.00035,0.37749,0.00157,0.34953,0.00151,2.46135,0.04688,34.77262,111.69464,45.62556,200.58582,-212.85972,2060.40457,1863.97722,4014818.43376,3536.51634,15015043.47698,47323.34308,218772701.32240,267220.23829,116880623330.78615,620638.53945,651710657887.43347,10566453.40368,62074653.34906,25965477.78885,1637440534.16964,29264191.42275,2849969457.80355,1
23,0.79396,0.00011,0.09595,0.00001,0.01590,0.00000,0.73449,0.00018,4.16380,0.00774,6.48301,0.00929,0.00567,0.00010,0.00697,0.00254,-0.00365,0.00038,0.92419,0.00013,0.53615,0.00234,0.28694,0.00224,13.39849,0.40866,10.00928,16.43844,37.89213,180.61634,-1687.68528,151178.70509,1423.07217,2390769.61957,3611.52341,16130327.56353,362520.18855,14256492864.82784,177163.36154,56736250404.05401,665399.42698,812850295417.98169,9749508.92530,28157743.15796,14758488.63776,334311864.66916,40143603.89317,4453208584.81065,1
24,0.61228,0.00020,0.05011,0.00001,0.02236,0.00000,1.37343,0.00006,5.31517,0.01666,6.11311,0.01137,0.00390,0.00002,-0.00791,0.00113,-0.00448,0.00017,0.84442,0.00047,0.44306,0.00205,0.32933,0.00192,54.02625,28.29801,22.39417,54.87307,66.53630,504.13236,-9362.53078,12606555.47705,1655.37057,3221115.23274,4776.65958,27793778.02708,1928270.25715,961844168555.79150,214533.54310,83035777763.93579,946329.10751,1618480183108.54880,11387156.42875,66112769.07574,17809192.50793,1044287396.77145,35295523.64181,5064597935.66832,1
25,0.45410,0.00046,0.04759,0.00004,0.10143,0.00004,1.80838,0.00066,5.03503,0.02661,4.19048,0.01335,0.06588,0.01311,0.00596,0.00012,0.00633,0.00011,0.83043,0.00076,0.42673,0.00251,0.54724,0.00164,2.90461,0.22443,42.61782,186.32906,42.08011,185.18805,-190.53816,6316.29390,8881.10163,31550120.49658,9769.65874,39195357.62158,45612.41464,728028685.86526,1289768.25545,1029627184307.12620,1536031.78754,1498827352239.56400,13143849.78911,656882389.84831,14725764.98785,3868056871.71424,10030514.71222,1817368927.72096,1
26,0.08845,0.00019,0.01015,0.00000,0.02823,0.00000,5.33135,0.01292,7.57576,0.00085,5.99456,0.00642,0.00084,0.00031,-0.00067,0.00008,0.00202,0.00021,0.48919,0.00613,0.26378,0.00424,0.37259,0.00814,33.19104,82.77488,78.38422,640.50289,50.17326,371.64441,867.37316,467646.96274,5804.21572,30838844.80154,4525.73155,14031392.21575,94590.59430,6174969238.16664,1064299.40968,1736120713273.52030,714412.42308,583861150782.19214,27977533.34372,2510985022.32319,59399896.56419,25019216307.48338,32116216.03717,6475341289.34072,0
27,0.13853,0.00013,0.00685,0.00000,0.00882,0.00000,3.92541,0.00373,8.09135,0.01001,7.48111,0.06512,0.01482,0.00414,-0.00003,0.00005,-0.00052,0.00007,0.56067,0.00529,0.23496,0.01046,0.27714,0.02704,7.66418,3.67353,115.69169,2012.38948,134.05288,4473.95493,-286.95246,18495.46730,3848.89394,6064542.32831,4394.81494,15329795.79503,57696.49272,1365823973.44614,609025.10819,208256663183.15802,772531.16861,572338174621.71802,22395278.76577,924498751.19734,69297879.15721,53254074226.77449,61803272.48343,44958205080.84422,0
28,0.53485,0.00076,0.01346,0.00000,0.02654,0.00001,1.63127,0.00399,6.86873,0.02570,5.80914,0.02910,-0.00097,0.00115,-0.00257,0.00011,0.00005,0.00031,0.80781,0.00187,0.26895,0.00228,0.34370,0.00289,13.41454,8.51313,79.21237,657.23782,40.75374,186.99610,-604.72305,24405.65497,5604.72044,12029539.63418,5738.44744,13976483.83581,132985.03734,3792187700.83172,1045950.96332,674344148521.31519,1112223.23459,823298027530.12061,12317866.40238,76259693.38726,46214470.25407,7818723579.31580,30398977.12652,2419485066.86055,0
29,0.57592,0.00069,0.02392,0.00001,0.02455,0.00001,1.35196,0.00196,6.19024,0.02826,5.85425,0.02403,0.02096,0.00279,-0.00468,0.00031,-0.00165,0.00024,0.82712,0.00131,0.32826,0.00269,0.33333,0.00323,6.64176,1.65904,49.33350,268.57410,50.70667,310.69031,-449.43814,23294.11637,2648.35159,2729380.37298,5551.55824,13967372.11845,95025.00745,2903593056.23551,398237.50833,101427241185.85596,1022502.34148,742326820121.12891,11621335.48006,63411686.38687,22501387.53235,1750886239.47995,28455970.95474,2832976445.64839,0
30,0.24578,0.00149,0.09154,0.00031,0.06856,0.00000,3.68817,0.05109,5.82585,0.07784,4.58604,0.00662,0.00110,0.00000,-0.00053,0.00020,0.01173,0.00027,0.61709,0.01313,0.44110,0.01535,0.50604,0.00284,204.51908,2448.40700,51.83294,346.49463,24.61239,62.07402,-49474.89476,1441744625.43169,2781.23688,3242168.92649,6160.92623,17102176.70201,9270947.02991,81869147548719.62500,400656.01036,113824977305.44516,936938.08906,686936756594.02319,20040464.82350,5434538369.99711,20431340.45526,2122075307.78076,17933437.97111,1620347811.78085,0
